topicID,lang,name,typeID,layer,description,version,url
HSP1,en,Histopathology,1,5,Microscopic examination of tissue in order to study and diagnose disease – study of changes in tissue due to disease,1,https://en.wikipedia.org/wiki/Hydrology
HOP1,en,Hoplology,1,5,The study of human combative behavior and performance,1,https://en.wikipedia.org/wiki/Hippology
ICO2,en,Iconography,1,5,Branch of art history – study of drawing symbols,1,https://en.wikipedia.org/wiki/Iconology
IDI2,en,Idiopsychology,1,5,study of the psychology of one's own mind,1,https://en.wikipedia.org/wiki/Iconology
IRE2,en,Irenology,1,5,Social science study of peace – study of peace,1,https://en.wikipedia.org/wiki/Immunology
KNS1,en,Kinesics,1,5,Interpretation of body motion communication – study of gestural communication,1,https://en.wikipedia.org/wiki/Kalology
KNS2,en,Kinesiology,1,5,Study of human body movement – study of human movement and posture,1,https://en.wikipedia.org/wiki/Kalology
KTE1,en,Ktenology,1,5,Scientific study of killing,1,https://en.wikipedia.org/wiki/Kalology
LAR2,en,Larithmics,1,5,study of population statistics,1,https://en.wikipedia.org/wiki/Kalology
LMB1,en,Limnobiology,1,5,study of freshwater ecosystems,1,https://en.wikipedia.org/wiki/Limacology
LOG2,en,Logistics,2,5,"Planning, implementation and control of efficient flow and storage of goods, services and information",1,https://en.wikipedia.org/wiki/Limacology
MAG1,en,Magnetics,1,5,Class of physical phenomena – study of magnetism,1,https://en.wikipedia.org/wiki/Limacology
MGH1,en,Magnetohydrodynamics,1,5,Model of electrically conducting fluids – study of electrically conducting fluids,1,https://en.wikipedia.org/wiki/Mechanical_engineering
MGS1,en,Magnetostatics,1,5,Branch of physics about magnetism in systems with steady electric currents – study of magnetic fields in systems where the currents are steady,1,https://en.wikipedia.org/wiki/Mechanical_engineering
MOM1,en,Momilogy,1,5,study of mummies,1,https://en.wikipedia.org/wiki/Molecular_biology
MYT1,en,Mythology,1,5,Type of traditional narrative – study of myths; fables; tales,1,https://en.wikipedia.org/wiki/Mycology
OIK1,en,Oikology,1,5,science of housekeeping,1,https://en.wikipedia.org/wiki/Oenology
ORT2,en,Orthoepy,1,5,Correct pronunciation of a language,1,https://en.wikipedia.org/wiki/Orology
ORT3,en,Orthography,1,5,Set of conventions for written language,1,https://en.wikipedia.org/wiki/Orology
PLA1,en,Palaeoanthropology,1,5,Study of ancient humans,1,https://en.wikipedia.org/wiki/Public_health
PLL1,en,Palaeolimnology,1,5,Scientific study of ancient lakes and streams,1,https://en.wikipedia.org/wiki/Public_health
POS4,en,Paleo-osteology,1,5,study of ancient bones,1,https://en.wikipedia.org/wiki/Public_health
PAR3,en,Parthenology,1,5,study of virgins,1,https://en.wikipedia.org/wiki/Palynology
PNI1,en,Phoniatrics,1,5,Sudy and treatment of organs involved in speech production,1,https://en.wikipedia.org/wiki/Public_health
POL1,en,Polemology,1,5,Multidisciplinary study of war,1,https://en.wikipedia.org/wiki/Public_health
PRI2,en,Primatology,1,5,Scientific study of primates,1,https://en.wikipedia.org/wiki/Public_health
PYG4,en,Psychognosy,1,5,"study of mentality, personality or character",1,https://en.wikipedia.org/wiki/Pyrography
PYB2,en,Pyroballogy,1,5,study of artillery,1,https://en.wikipedia.org/wiki/Public_health
SIL1,en,Silvics,1,5,Practice of controlling forests for timber production – study of tree's life,1,https://en.wikipedia.org/wiki/Sociolinguistics
SOM2,en,Somatology,1,5,Branch of anthropology that studies the physical development of the human species – science of substances,1,https://en.wikipedia.org/wiki/Solid_mechanics
SPO1,en,Spongology,1,5,study of sponges,1,https://en.wikipedia.org/wiki/Speleology
STI1,en,Stoichiology,1,5,science of elements of animal tissues,1,https://en.wikipedia.org/wiki/Splanchnology
STR2,en,Stratography,1,5,art of leading an army,1,https://en.wikipedia.org/wiki/Stomatology
SYM2,en,Symbology,1,5,"Something that represents an idea, process, or physical entity – study of symbols",1,https://en.wikipedia.org/wiki/Symbology
TEC3,en,Terrestrial ecology,1,5,Study of terrestrial ecosystems and the biotic and abiotic things that occupy them.,1,https://en.wikipedia.org/wiki/Terrestrial_ecology
TEU1,en,Teuthology,1,5,Study of cephalopods,1,https://en.wikipedia.org/wiki/Teuthology
TON1,en,Tonetics,1,5,Use of pitch to distinguish lexical or grammatical meaning,1,https://en.wikipedia.org/wiki/Tonetics
TRI2,en,Trichology,1,5,The study of the hair and scalp,1,https://en.wikipedia.org/wiki/Trichology
TSI1,en,Tsiganology,1,5,study of gypsies,1,https://en.wikipedia.org/wiki/Trichology
TYL1,en,Typology,1,5,System of classification – study of types of things,1,https://en.wikipedia.org/wiki/Typology
WEB1,en,Webology,1,5,Academic journal on the World Wide Web – The study of the World Wide Web.,1,https://en.wikipedia.org/wiki/Webology
ZSE1,en,Zoosemiotics,1,5,Study of the use of signs among animals – study of animal communication,1,https://en.wikipedia.org/wiki/Zoosemiotics
RHO1,en,Rhochrematics,1,6,science of inventory management and the movement of products,1,https://en.wikipedia.org/wiki/Radiobiology
STR3,en,Storiology,1,6,study of folk tales,1,https://en.wikipedia.org/wiki/Stomatology
